Time_Min Rome_Sats Milan_Sats NodeRM_Sats
0.00 4 4 4
1.00 5 4 5
2.00 5 5 5
3.00 4 5 4
4.00 5 4 5
5.00 5 5 5
6.00 4 5 4
7.00 4 4 4
8.00 4 4 4
9.00 4 4 4
10.00 4 4 4
11.00 4 4 4
12.00 3 3 3
13.00 2 4 2
14.00 4 4 4
15.00 4 4 4
16.00 5 4 5
17.00 5 5 5
18.00 4 5 4
19.00 5 4 5
20.00 5 5 5
21.00 4 5 4
22.00 4 4 4
23.00 4 4 4
24.00 4 4 4
25.00 4 4 4
26.00 4 4 4
27.00 3 3 3
28.00 2 4 2
29.00 4 4 4
30.00 4 4 4
31.00 5 4 5
32.00 5 5 5
33.00 4 5 4
34.00 5 4 5
35.00 5 5 5
36.00 4 5 4
37.00 4 4 4
38.00 4 4 4
39.00 4 4 4
40.00 4 4 4
41.00 4 4 4
42.00 3 3 3
43.00 2 4 2
44.00 4 4 4
45.00 4 4 4
46.00 5 4 5
47.00 5 5 5
48.00 4 5 4
49.00 5 4 5
50.00 5 5 5
51.00 4 5 4
52.00 4 4 4
53.00 4 4 4
54.00 4 4 4
55.00 4 4 4
56.00 4 4 4
57.00 3 3 3
58.00 2 4 2
59.00 4 4 4
60.00 4 4 4
61.00 5 4 5
62.00 5 5 5
63.00 4 5 4
64.00 5 4 5
65.00 5 5 5
66.00 4 5 4
67.00 4 4 4
68.00 4 4 4
69.00 4 4 4
70.00 4 4 4
71.00 4 4 4
72.00 3 3 3
73.00 2 4 2
74.00 4 4 4
75.00 4 4 4
76.00 5 4 5
77.00 5 5 5
78.00 4 5 4
79.00 5 4 5
80.00 5 5 5
81.00 4 5 4
82.00 4 4 4
83.00 4 4 4
84.00 4 4 4
85.00 4 4 4
86.00 4 4 4
87.00 3 3 3
88.00 2 4 2
89.00 4 4 4
90.00 4 4 4
91.00 5 4 5
92.00 5 5 5
93.00 4 5 4
94.00 5 4 5
95.00 5 5 5
96.00 4 5 4
97.00 4 4 4
98.00 4 4 4
99.00 4 4 4
100.00 4 4 4
101.00 4 4 4
102.00 3 3 3
103.00 2 4 2
104.00 4 4 4
105.00 4 4 4
106.00 5 4 5
107.00 5 5 5
108.00 4 5 4
109.00 5 4 5
110.00 5 5 5
